,Content labeled,Content unlabeled,Function labeled,Function unlabeled
Arabic,0.5137889688249401,0.5638604773144505,0.3980169971671388,0.48947778643803586
Bulgarian,0.5528578654527061,0.5485327313769752,0.5065963060686016,0.5597014925373134
Croatian,0.47414880201765447,0.4596153846153846,0.31843575418994413,0.2676056338028169
Czech,0.486107340030772,0.4577539509688948,0.3710016835016835,0.3540045192066282
Danish,0.4078807241746539,0.4013605442176871,0.23300970873786409,0.24615384615384617
English,0.4776654711444408,0.4383906119027661,0.3293103448275862,0.36380597014925375
Finnish,0.3910997004706889,0.3767491926803014,0.24610591900311526,0.2891156462585034
Gothic,0.36908962597035994,0.3250497017892644,0.311284046692607,0.3684210526315789
Greek,0.44319344933469806,0.4332892998678996,0.30855018587360594,0.3333333333333333
Hebrew,0.5089786756453423,0.5430769230769231,0.3323076923076923,0.46621621621621623
Hindi,0.6120248045295228,0.5140275796481217,0.3793103448275862,0.3098958333333333
Italian,0.5769561478933792,0.5638766519823789,0.44390243902439025,0.48295454545454547
Norwegian,0.5454820187367785,0.5115900772671818,0.36098310291858676,0.3764135702746365
Old_Church_Slavonic,0.41285140562248995,0.37814207650273224,0.32085561497326204,0.35911602209944754
Persian,0.46604015378043573,0.4472148541114058,0.3126177024482109,0.40711462450592883
Polish,0.5904550499445061,0.5247208931419458,0.38235294117647056,0.43548387096774194
Portuguese,0.46871008939974457,0.46416938110749184,0.3114754098360656,0.32432432432432434
Slovenian,0.4095238095238095,0.3803921568627451,0.30049261083743845,0.33248081841432225
Spanish,0.4629948364888124,0.48331415420023016,0.2956204379562044,0.3412698412698413
Swedish,0.46755587599134824,0.45081227436823107,0.36151960784313725,0.3895184135977337
