,WLAS,LAS,C prec,C rec,F prec,F rec
Arabic,0.7413439956234218,0.7501061270694779,0.7165051697071402,0.7256578947368421,0.8250581315825468,0.8103170338527673
Basque,0.6189931985228185,0.6441700172314762,0.5740136640610575,0.6005538025629468,0.8578734285105476,0.8239869013507982
Bulgarian,0.8004901728071621,0.8224227786958179,0.7728908886389201,0.7765596745027125,0.9218543046357616,0.916794731064764
Croatian,0.7141891586473302,0.7032727272727273,0.6746522411128284,0.6876723119338323,0.8202716823406478,0.8143153526970954
Czech,0.8037128293691619,0.7977288408463662,0.778109972443852,0.796339305463393,0.8908201192609033,0.875164188514685
Danish,0.7432792444227301,0.7549286199864038,0.6905460951262478,0.7146763901549681,0.8981536628945801,0.8798133022170361
Dutch,0.6662460537647148,0.6649955237242614,0.571343104995513,0.631404958677686,0.8447309417040358,0.7910761154855643
English,0.8174034068359303,0.8228402932738285,0.784848690000677,0.7907912687585266,0.9214434420541291,0.9196564621138662
Finnish,0.6407027043833333,0.6628008752735229,0.631937984496124,0.635583970060814,0.7614814814814815,0.7620459599703484
Gothic,0.6444091435021045,0.6698332687088019,0.6168352008745559,0.6143168209036473,0.8047722342733189,0.8124087591240876
Greek,0.7256288057755537,0.7325335215243473,0.6510531279471864,0.6794619422572179,0.8942014242115972,0.8672915638875185
Hebrew,0.755928607362812,0.775340206185567,0.6970119213500542,0.7164226607256524,0.9222274436090225,0.9235294117647059
Hindi,0.8402575679083497,0.8735534857465425,0.80702274975272,0.8148000199730364,0.9632453254152957,0.9627817438036416
Italian,0.8256723965748025,0.8445032870708546,0.7719636995558988,0.7746560744041853,0.9543659499780606,0.9549945115257958
Norwegian,0.828055927252691,0.8446760338283279,0.8037899489129143,0.8035035629453682,0.9162449654032842,0.9316391893310931
Old_Church_Slavonic,0.6840438822582744,0.707816499310888,0.6586270871985158,0.6662198391420912,0.8524444444444444,0.8368237347294939
Persian,0.7889791741090947,0.7969666708276121,0.7584035648551778,0.7698131760078663,0.9009195402298851,0.8806741573033708
Polish,0.8167304522326752,0.8328462073764787,0.803204156743884,0.8045977011494253,0.9070100143061517,0.9031339031339032
Portuguese,0.7814391401800095,0.7900119311402761,0.712554695388758,0.73,0.948300622307324,0.9419876367094627
Slovenian,0.802943632161488,0.8104245182393515,0.7688593844296923,0.7811158798283262,0.906062124248497,0.8990802883420334
Spanish,0.7569708731017534,0.7802087262668176,0.6929802005656981,0.6987295825771325,0.9188854489164087,0.9154842689697718
Swedish,0.7866227708478285,0.7934926632968543,0.7567135280747538,0.7641758054917963,0.886657325237428,0.8746736292428199
