,coordination,coordination,noun,noun,other,other,noncore,noncore,special_clausal,special_clausal,case_marking,case_marking,compound_and_unanalyzed,compound_and_unanalyzed,core,core,loose_joining,loose_joining
,precision,recall,precision,recall,precision,recall,precision,recall,precision,recall,precision,recall,precision,recall,precision,recall,precision,recall
,,,,,,,,,,,,,,,,,,
Arabic,0.640171858216971,0.6236484129752354,0.7572059205401195,0.7773926952812583,0.7151277013752456,0.8474970896391153,0.6831730198313739,0.7098963474827246,0.7925170068027211,0.756047197640118,0.9524040796503157,0.9547224926971762,,,0.7027595269382392,0.6568410709899287,0.84375,0.8468634686346863
Basque,0.6758594635436344,0.6095400340715502,0.6657556270096463,0.6330836263568261,0.4726666666666667,0.7689804772234273,0.6092913385826771,0.5825929829844902,0.7701831750339213,0.69434250764526,0.9778869778869779,0.9731051344743277,0.81169757489301,0.8082386363636364,0.49497033789012124,0.47558859975216855,0.23529411764705882,0.5
Bulgarian,0.7368886269888038,0.7594898269055572,0.8329177057356608,0.81902893575282,0.8018092105263158,0.8736559139784946,0.7454605480356553,0.7439868204283361,0.8460475400773908,0.8395501919912233,0.976824034334764,0.980611805256355,0.7890625,0.8859649122807017,0.7812248186946011,0.7367021276595744,,
Croatian,0.6439909297052154,0.6100966702470462,0.7433155080213903,0.7722222222222223,0.5314465408805031,0.845,0.7050183598531212,0.7337579617834394,0.7014767932489452,0.6683417085427136,0.9366754617414248,0.9366754617414248,0.7769784172661871,0.5373134328358209,0.6593625498007968,0.6439688715953308,0.3333333333333333,0.21333333333333335
Czech,0.7121998868952754,0.6890325789604576,0.8450483597748675,0.8450945389631681,0.6097826086956522,0.8142235123367199,0.7755144406674105,0.7697221006000978,0.786312005751258,0.7501577460151985,0.977079280155642,0.973940973274347,0.8455056179775281,0.872969837587007,0.8276245932522692,0.7633678224468842,0.2833333333333333,0.1471861471861472
Danish,0.6966490299823633,0.6655433866891323,0.7845303867403315,0.7277386290839206,0.5246212121212122,0.8470948012232415,0.6848381601362862,0.6628194558944766,0.802547770700637,0.7534883720930232,0.9145454545454546,0.9112318840579711,0.8421052631578947,0.8366013071895425,0.7643312101910829,0.7515657620041754,0.3333333333333333,0.36363636363636365
Dutch,0.5793901156677181,0.4972924187725632,0.7977142857142857,0.7785833798103736,0.3378099173553719,0.6942675159235668,0.684622067767159,0.6416938110749185,0.7082352941176471,0.5512820512820513,0.9129746835443038,0.9443535188216039,0.6382978723404256,0.6122448979591837,0.639763779527559,0.5345394736842105,0.5,0.10416666666666667
English,0.7479728248959018,0.7284951974386339,0.837929440764135,0.840389369592089,0.803285776048422,0.8941289701636189,0.7797237296497287,0.7766584766584766,0.838958180484226,0.8228098578881093,0.9384384384384384,0.9479271991911021,0.7693836978131213,0.769893899204244,0.8546054300938848,0.861160828432626,0.3590504451038576,0.2636165577342048
Finnish,0.6899189918991899,0.6738461538461539,0.6612099644128114,0.63761153054221,0.6953020134228188,0.7993827160493827,0.6162881754111198,0.6016819571865444,0.7136729222520107,0.6925078043704475,0.920863309352518,0.9142857142857143,0.7165354330708661,0.5027624309392266,0.5862686567164179,0.6477572559366754,0.3783783783783784,0.21212121212121213
Gothic,0.6085164835164835,0.576072821846554,0.6855575868372943,0.648228176318064,0.6212574850299402,0.8556701030927835,0.632263660017346,0.5975409836065574,0.815068493150685,0.7628205128205128,0.9585152838427947,0.9648351648351648,0.8235294117647058,1.0,0.6273551988834613,0.6221453287197232,,0.0
Greek,0.5445652173913044,0.49801192842942343,0.8325901905147953,0.8288942695722357,0.4469525959367946,0.8016194331983806,0.6804597701149425,0.7070063694267515,0.730593607305936,0.6666666666666666,0.9076923076923077,0.8676470588235294,1.0,1.0,0.6823855755894591,0.6243654822335025,0.3888888888888889,0.3333333333333333
Hebrew,0.6607949412827462,0.6613924050632911,0.7957364341085271,0.8281565147236789,0.7700348432055749,0.6005434782608695,0.6998191681735986,0.7343453510436433,0.7526939655172413,0.7446695095948828,0.9635742743312464,0.9718714121699197,0.7559808612440191,0.7632850241545893,0.6565420560747663,0.6534883720930232,0.0,0.0
Hindi,0.9073412152873247,0.8634222919937206,0.8281563126252505,0.8498714652956298,0.7868290826037305,0.9416856492027335,0.7739042566628773,0.8156283280085197,0.9504251564254773,0.9187344913151365,0.9724267359607334,0.976231884057971,0.9486458865610629,0.9626652838994036,0.7093541202672605,0.6160541586073501,0.9705882352941176,0.75
Italian,0.6954866775421424,0.6846895074946466,0.8899062081286289,0.8843763870395028,0.797373358348968,0.869120654396728,0.7792268281322776,0.7803171641791045,0.8011276268580215,0.7970423253442122,0.9925604463732176,0.9907178217821783,0.8910256410256411,0.9328859060402684,0.7469310670443815,0.738562091503268,0.15384615384615385,0.16666666666666666
Norwegian,0.8076853362334602,0.7868620872329154,0.8311388624949098,0.8257585974376265,0.7910313901345292,0.9097472924187726,0.7604349351104875,0.7633802816901408,0.8688400303260045,0.8608774038461539,0.9543133566245633,0.9584345479082321,0.8601997146932953,0.7892670157068062,0.8519697572622363,0.8193647148871029,0.6138613861386139,0.6526315789473685
Old_Church_Slavonic,0.6498559077809798,0.627260083449235,0.7463087248322148,0.6412918108419838,0.6742532005689901,0.8257839721254355,0.6622390891840607,0.6316742081447964,0.8717391304347826,0.842436974789916,0.9662337662337662,0.96875,,0.0,0.6625806451612903,0.678335535006605,0.0,0.0
Persian,0.765253360910031,0.7377866400797607,0.8070175438596491,0.8485903237034459,0.6869220607661823,0.8137715179968701,0.7548934319269247,0.8029146426092991,0.7858654253068134,0.7469831053901851,0.9605199807414541,0.9642339294345095,0.8754365541327125,0.7265700483091787,0.6258782201405152,0.6251461988304093,0.4,0.4
Polish,0.8153333333333334,0.8191560616208975,0.8139664804469273,0.8005494505494506,0.8973333333333333,0.9257221458046767,0.7654476670870114,0.756386292834891,0.8662576687116564,0.8573163327261688,0.9460227272727273,0.9555236728837877,,,0.7973629424011104,0.8097251585623678,,
Portuguese,0.6657407407407407,0.6214347450302506,0.8602442333785617,0.8598553345388789,0.5238095238095238,0.8231292517006803,0.7027777777777777,0.6788908765652951,0.6999022482893451,0.6586936522539099,0.9826517967781908,0.9850931677018634,0.5555555555555556,0.5555555555555556,0.7726161369193154,0.730635838150289,0.375,0.375
Slovenian,0.7398141529664046,0.7096331847788824,0.8508997429305912,0.8266733266733267,0.5566583953680728,0.8518987341772152,0.8150365934797072,0.7651467832604623,0.8457583547557841,0.8161521499448732,0.9745699326851159,0.9774943735933983,0.9230769230769231,0.8695652173913043,0.8303622771707878,0.7969094922737306,0.28662420382165604,0.3146853146853147
Spanish,0.6343283582089553,0.6128334534967556,0.8224087826929286,0.8356299212598425,0.6502890173410405,0.7894736842105263,0.6975778546712803,0.711864406779661,0.740506329113924,0.7317581653926337,0.9432624113475178,0.9663941871026339,0.7786259541984732,0.8225806451612904,0.7608695652173914,0.7022175290390708,0.20512820512820512,0.3076923076923077
Swedish,0.7025627044711014,0.7012244897959183,0.815859499733901,0.8116837274973526,0.7810831426392068,0.8400328137817884,0.7247434435575827,0.7270647449096317,0.7884615384615384,0.783239938869078,0.9169373549883991,0.9445506692160612,0.9672131147540983,0.8894472361809045,0.7995310668229777,0.797427652733119,0.2982456140350877,0.3063063063063063
