WordID	Stimuliname	ID	Word	DepRel	Head	UniversalPOS	Dom	HeadPOS	Headdirection	Disttoheadnominal	POStag	Disttohead	Disttoheadabs	First fixation duration on every word	Fixation prob	Frequency	HowOftenNews	HowOftenTweets	InterestRating	InterestRating n std from mean	Mean fixation duration per sent	Mean fixation duration per word	Next fixation duration	Next word fixated binary	P1stFix	P2ndFix	Previous fixation duration	Previous word fixated binary	Re-read prob	Reading time per sent norm	Sentence len	Share of fixated words per sent	TimePrctg	Total fixation duration per word	Total regression from duration	Total regresssion to duration	Word len	index	level_0	nFixations	nFixations per sent norm	nLong regressions from	nLong regressions per sent norm	nLong regressions to	nRefixations	nRefixations per sent norm	nRegressions from	nRegressions per sent norm	nRegressions to
1	HDL0101.png	1	Texans	nsubj	2	NOUN	HDL	VBP	Right	1	NNPS	1.0	1.0	184.8	0.9	9.002e-07	2.6	1.6	1.3	-0.90768672093	264.209610423	279.21	221.6	0.8	0.4	0.6	205.7	0.0	0.4	437.6	6.0	0.81666666667	0.16452789783	500.6	259.8	0.0	6.0	0.0	32171.0	2.0	1.65	0.0	0.01666666667	0.0	0.5	0.34999999999	1.1	0.41666666666	0.0
2	HDL0101.png	2	Get	root	0	VERB	HDL	ROOT	root	1	VBP	0.0	0.0	178.2	0.8	2.32858e-05	2.6	1.6	1.3	-0.90768672093	264.209610423	237.233333333	157.3	1.0	0.1	0.3	164.9	0.9	0.3	437.6	6.0	0.81666666667	0.13087378615	328.9	83.3	85.0	3.0	1.0	32172.0	1.3	1.65	0.0	0.01666666667	0.0	0.1	0.34999999999	0.5	0.41666666666	0.5
3	HDL0101.png	3	Reasonable	amod	6	ADJ	HDL	NN	Right	>1	JJ	3.0	3.0	164.8	1.0	7.6251e-06	2.6	1.6	1.3	-0.90768672093	264.209610423	300.413333333	244.7	0.5	0.4	0.1	318.9	0.8	0.7	437.6	6.0	0.81666666667	0.22544053621	557.2	209.9	108.3	10.0	2.0	32173.0	2.8	1.65	0.0	0.01666666667	0.1	0.6	0.34999999999	0.6	0.41666666666	0.8
4	HDL0101.png	4	Car	nn	5	NOUN	HDL	NN	Right	1	NN	1.0	1.0	114.9	0.5	1.17687e-05	2.6	1.6	1.3	-0.90768672093	264.209610423	144.033333333	187.4	0.8	0.0	0.0	86.5	1.0	0.2	437.6	6.0	0.81666666667	0.05008962169	179.0	13.3	35.0	3.0	3.0	32174.0	0.8	1.65	0.0	0.01666666667	0.0	0.0	0.34999999999	0.1	0.41666666666	0.3
5	HDL0101.png	5	Rental	nn	6	NOUN	HDL	NN	Right	1	NN	1.0	1.0	229.8	0.8	8.737e-07	2.6	1.6	1.3	-0.90768672093	264.209610423	341.933333333	265.6	0.9	0.0	0.0	217.3	0.5	0.4	437.6	6.0	0.81666666667	0.20277474392	489.6	43.3	16.7	6.0	4.0	32175.0	1.4	1.65	0.0	0.01666666667	0.0	0.3	0.34999999999	0.2	0.41666666666	0.2
6	HDL0101.png	6	Insurance	dobj	2	NOUN	HDL	VBP	Left	>1	NN	-4.0	4.0	332.3	0.9	0.0001335459	2.6	1.6	1.3	-0.90768672093	264.209610423	447.441666667	210.7	0.0	0.1	0.0	305.7	0.8	0.3	437.6	6.0	0.81666666667	0.22629341416	570.3	0.0	201.5	9.0	5.0	32176.0	1.6	1.65	0.1	0.01666666667	0.0	0.6	0.34999999999	0.0	0.41666666666	0.7
7	HDL0042.png	1	THE	det	2	DET	HDL	NNP	Right	1	DT	1.0	1.0	103.3	0.4	7.94e-08	2.6	1.6	2.6	0.17615674871	241.753498168	103.3	70.9	0.4	0.2	0.0	101.6	0.0	0.0	341.633333333	9.0	0.74444444446	0.03717088098	103.3	47.5	0.0	3.0	0.0	32089.0	0.4	1.41111111111	0.0	0.09999999999	0.0	0.0	0.2	0.2	0.39999999998	0.0
8	HDL0042.png	2	IRS	nsubj	4	NOUN	HDL	VB	Right	>1	NNP	2.0	2.0	101.6	0.4	8.0091e-06	2.6	1.6	2.6	0.17615674871	241.753498168	132.95	80.0	0.9	0.2	0.2	88.2	0.4	0.2	341.633333333	9.0	0.74444444446	0.07402295082	176.5	79.1	47.5	3.0	1.0	32090.0	0.7	1.41111111111	0.0	0.09999999999	0.1	0.0	0.2	0.4	0.39999999998	0.2
9	HDL0042.png	3	may	aux	4	VERB	HDL	VB	Right	1	MD	1.0	1.0	223.2	0.9	6.1954e-06	2.6	1.6	2.6	0.17615674871	241.753498168	319.541666667	266.4	0.9	0.1	0.6	290.7	0.4	0.5	341.633333333	9.0	0.74444444446	0.15099710658	460.6	274.1	13.3	3.0	2.0	32091.0	1.9	1.41111111111	0.0	0.09999999999	0.4	0.2	0.2	1.1	0.39999999998	0.1
10	HDL0042.png	4	taketh	root	0	VERB	HDL	ROOT	root	1	VB	0.0	0.0	219.9	0.9	1.456e-07	2.6	1.6	2.6	0.17615674871	241.753498168	331.425	234.8	0.9	0.3	0.1	216.5	0.9	0.6	341.633333333	9.0	0.74444444446	0.15493338966	502.2	116.8	88.3	6.0	3.0	32092.0	2.3	1.41111111111	0.0	0.09999999999	0.1	0.5	0.2	0.7	0.39999999998	0.9
11	HDL0042.png	5	what	dobj	9	PRON	HDL	VBZ	Right	>1	WP	4.0	4.0	180.1	0.9	0.0004414774	2.6	1.6	2.6	0.17615674871	241.753498168	236.9	167.3	0.5	0.1	0.1	227.5	0.9	0.5	341.633333333	9.0	0.74444444446	0.10832681382	297.6	132.5	76.8	4.0	4.0	32093.0	1.5	1.41111111111	0.0	0.09999999999	0.3	0.0	0.2	0.6	0.39999999998	0.5
12	HDL0042.png	6	the	det	8	DET	HDL	NNP	Right	>1	DT	2.0	2.0	117.4	0.5	7.94e-08	2.6	1.6	2.6	0.17615674871	241.753498168	139.35	110.8	0.6	0.0	0.0	95.8	0.9	0.2	341.633333333	9.0	0.74444444446	0.04491932791	167.4	12.5	55.0	3.0	5.0	32094.0	0.8	1.41111111111	0.0	0.09999999999	0.0	0.2	0.2	0.1	0.39999999998	0.3
13	HDL0042.png	7	Labor	nn	8	NOUN	HDL	NNP	Right	1	NNP	1.0	1.0	138.3	0.6	3.336e-05	2.6	1.6	2.6	0.17615674871	241.753498168	176.866666667	129.9	1.0	0.1	0.0	124.9	0.5	0.3	341.633333333	9.0	0.74444444446	0.06155899388	220.7	0.0	61.7	5.0	6.0	32095.0	1.0	1.41111111111	0.3	0.09999999999	0.0	0.1	0.2	0.0	0.39999999998	0.2
14	HDL0042.png	8	Department	nsubj	9	NOUN	HDL	VBZ	Right	1	NNP	1.0	1.0	254.7	1.0	5.31642e-05	2.6	1.6	2.6	0.17615674871	241.753498168	390.2	253.1	0.9	0.0	0.0	220.8	0.6	0.6	341.633333333	9.0	0.74444444446	0.20372344133	563.7	131.6	122.5	10.0	7.0	32096.0	2.0	1.41111111111	0.5	0.09999999999	0.0	0.1	0.2	0.5	0.39999999998	0.5
15	HDL0042.png	9	giveth	ccomp	4	VERB	HDL	VB	Left	>1	VBZ	-5.0	5.0	191.5	0.9	1.324e-07	2.6	1.6	2.6	0.17615674871	241.753498168	308.853333333	321.4	0.0	0.0	0.0	207.2	1.0	0.4	341.633333333	9.0	0.74444444446	0.14686748891	513.6	0.0	154.9	6.0	8.0	32097.0	1.9	1.41111111111	0.1	0.09999999999	0.0	0.7	0.2	0.0	0.39999999998	0.8
16	HDL0042.png	10	.	punct	4	.	HDL	VB	Left	>1	.	-6.0	6.0	69.1	0.2	0.0426665265	2.6	1.6	2.6	0.17615674871	241.753498168	69.1	33.3	0.0	0.0	0.0	115.7	0.0	0.0	341.633333333	9.0	0.74444444446	0.01747960611	69.1	0.0	34.1	1.0	9.0	32098.0	0.2	1.41111111111	0.0	0.09999999999	0.0	0.0	0.2	0.0	0.39999999998	0.1
17	HDL0104.png	1	CRESTMONT	nn	6	NOUN	HDL	NNP	Right	>1	NNP	5.0	5.0	204.1	0.9	1.32e-08	2.6	1.6	1.0	-1.17961143224	218.919407814	270.483333333	212.4	0.7	0.4	0.5	229.9	0.0	0.4	217.3125	8.0	0.7	0.16738418792	344.1	124.2	0.0	9.0	0.0	31978.0	1.4	0.95	0.0	0.0375	0.0	0.5	0.175	0.5	0.1	0.0
18	HDL0104.png	2	FEDERAL	nn	6	NOUN	HDL	NNP	Right	>1	NNP	4.0	4.0	194.1	0.7	7.84755e-05	2.6	1.6	1.0	-1.17961143224	218.919407814	246.6	127.5	0.9	0.4	0.2	234.9	0.9	0.5	217.3125	8.0	0.7	0.15583063062	299.1	39.1	101.7	7.0	1.0	31979.0	1.2	0.95	0.0	0.0375	0.0	0.1	0.175	0.1	0.1	0.4
19	HDL0104.png	3	SAVINGS	nn	6	NOUN	HDL	NNP	Right	>1	NNPS	3.0	3.0	170.0	0.9	1.32e-08	2.6	1.6	1.0	-1.17961143224	218.919407814	188.75	159.7	0.1	0.1	0.2	185.9	0.7	0.2	217.3125	8.0	0.7	0.1482257054	207.5	14.2	22.5	7.0	2.0	31980.0	1.1	0.95	0.0	0.0375	0.2	0.0	0.175	0.1	0.1	0.1
20	HDL0104.png	4	&	erased	0	CONJ	HDL	ROOT	Left	>1	CC	-4.0	4.0	14.2	0.1	0.0007696763	2.6	1.6	1.0	-1.17961143224	218.919407814	14.2	25.8	0.6	0.0	0.0	16.6	0.9	0.0	217.3125	8.0	0.7	0.00438406916	14.2	16.6	0.0	1.0	3.0	31981.0	0.1	0.95	0.0	0.0375	0.0	0.0	0.175	0.1	0.1	0.0
